Day, Time, Sender Region, Receiver Region, Provider, Processor, Low ABW, High ABW
Sat,13:52:34,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,500,517
Sat,13:58:13,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,500,521
Sat,14:03:34,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,406,413
Sat,14:09:20,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,0,571
Sat,14:14:53,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,370,517
Sat,14:20:43,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,375,521
Sat,14:26:25,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,0,544
Sat,14:31:56,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,0,571
Sat,14:37:25,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,480,500
Sat,14:43:07,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,510,510
Sat,14:48:38,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,461,480
Sat,14:54:16,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,490,495
Sat,15:00:25,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,444,452
Sat,15:06:17,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,352,500
Sat,15:12:10,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,490,500
Sat,15:17:36,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,500,500
Sat,15:23:17,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,533,533
Sat,15:53:07,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,397,397
Sat,15:58:49,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,428,521
Sat,16:04:32,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,213,500
Sat,16:10:27,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,428,439
Sat,16:16:06,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,413,542
Sat,16:22:01,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,397,400
Sat,16:27:40,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,480,490
Sat,16:47:51,US-West-2,Asia-Northeast-1,AWS-Web-Services,Intel-Xeon-2.5-GHz,436,452
