Day, Time, Sender Region, Receiver Region, Hop IP, Duration, Hop Count
Sat,13:52:34,Asia-Northeast-1,US-West-1,175.41.192.146,19,1
Sat,13:52:34,Asia-Northeast-1,US-West-1,100.64.2.202,12,2
Sat,13:52:34,Asia-Northeast-1,US-West-1,100.64.2.1,14,3
Sat,13:52:34,Asia-Northeast-1,US-West-1,100.64.17.167,0,4
Sat,13:52:34,Asia-Northeast-1,US-West-1,52.95.30.219,2,5
Sat,13:52:34,Asia-Northeast-1,US-West-1,52.95.31.127,6,6
Sat,13:52:34,Asia-Northeast-1,US-West-1,52.95.30.14,2,7
Sat,13:52:34,Asia-Northeast-1,US-West-1,27.0.0.248,103,8
Sat,13:52:34,Asia-Northeast-1,US-West-1,54.239.41.161,104,9
Sat,13:52:34,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Sat,13:52:34,Asia-Northeast-1,US-West-1,52.93.12.122,122,11
Sat,13:52:34,Asia-Northeast-1,US-West-1,52.93.12.143,103,12
Sat,13:52:34,Asia-Northeast-1,US-West-1,52.93.12.214,143,13
Sat,13:52:34,Asia-Northeast-1,US-West-1,52.93.13.61,105,14
Sat,13:52:34,Asia-Northeast-1,US-West-1,52.93.15.223,105,15
Sat,13:52:34,Asia-Northeast-1,US-West-1,100.65.11.64,124,16
Sat,13:52:34,Asia-Northeast-1,US-West-1,100.66.4.8,121,17
Sat,13:52:34,Asia-Northeast-1,US-West-1,100.66.7.198,124,18
Sat,13:52:34,Asia-Northeast-1,US-West-1,100.66.10.235,157,19
Sat,13:52:34,Asia-Northeast-1,US-West-1,100.66.8.137,123,20
Sat,13:52:34,Asia-Northeast-1,US-West-1,52.37.39.9,104,21
Sat,13:58:13,Asia-Northeast-1,US-West-1,175.41.192.150,13,1
Sat,13:58:13,Asia-Northeast-1,US-West-1,100.64.0.140,13,2
Sat,13:58:13,Asia-Northeast-1,US-West-1,100.64.1.5,21,3
Sat,13:58:13,Asia-Northeast-1,US-West-1,100.64.16.195,0,4
Sat,13:58:13,Asia-Northeast-1,US-West-1,52.95.30.207,1,5
Sat,13:58:13,Asia-Northeast-1,US-West-1,52.95.30.121,3,6
Sat,13:58:13,Asia-Northeast-1,US-West-1,52.95.31.8,2,7
Sat,13:58:13,Asia-Northeast-1,US-West-1,54.239.52.134,103,8
Sat,13:58:13,Asia-Northeast-1,US-West-1,54.239.41.161,104,9
Sat,13:58:13,Asia-Northeast-1,US-West-1,54.239.43.132,103,10
Sat,13:58:13,Asia-Northeast-1,US-West-1,52.93.12.122,106,11
Sat,13:58:13,Asia-Northeast-1,US-West-1,52.93.12.33,104,12
Sat,13:58:13,Asia-Northeast-1,US-West-1,52.93.12.140,129,13
Sat,13:58:13,Asia-Northeast-1,US-West-1,52.93.12.245,105,14
Sat,13:58:13,Asia-Northeast-1,US-West-1,52.93.15.223,104,15
Sat,13:58:13,Asia-Northeast-1,US-West-1,100.65.8.160,117,16
Sat,13:58:13,Asia-Northeast-1,US-West-1,100.66.4.58,126,17
Sat,13:58:13,Asia-Northeast-1,US-West-1,100.66.6.8,119,18
Sat,13:58:13,Asia-Northeast-1,US-West-1,100.66.11.225,124,19
Sat,13:58:13,Asia-Northeast-1,US-West-1,100.66.8.159,125,20
Sat,13:58:13,Asia-Northeast-1,US-West-1,52.37.39.9,105,21
Sat,14:03:34,Asia-Northeast-1,US-West-1,175.41.192.144,17,1
Sat,14:03:34,Asia-Northeast-1,US-West-1,100.64.2.136,12,2
Sat,14:03:34,Asia-Northeast-1,US-West-1,100.64.1.69,12,3
Sat,14:03:34,Asia-Northeast-1,US-West-1,100.64.16.227,0,4
Sat,14:03:34,Asia-Northeast-1,US-West-1,52.95.30.209,3,5
Sat,14:03:34,Asia-Northeast-1,US-West-1,52.95.30.125,1344,6
Sat,14:03:34,Asia-Northeast-1,US-West-1,52.95.30.12,2,7
Sat,14:03:34,Asia-Northeast-1,US-West-1,54.239.52.134,108,8
Sat,14:03:34,Asia-Northeast-1,US-West-1,54.239.41.161,103,9
Sat,14:03:34,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Sat,14:03:34,Asia-Northeast-1,US-West-1,52.93.12.158,105,11
Sat,14:03:34,Asia-Northeast-1,US-West-1,52.93.12.181,104,12
